,count
https://flamingo.ics.uci.edu/releases/docs,0
https://flamingo.ics.uci.edu/releases,72
https://flamingo.ics.uci.edu/apache.header.html,0
https://flamingo.ics.uci.edu/apache.footer.html,0
https://flamingo.ics.uci.edu/4.1,0
https://flamingo.ics.uci.edu/4.0,0
https://flamingo.ics.uci.edu/3.0,0
https://flamingo.ics.uci.edu/2.0,0
https://flamingo.ics.uci.edu/2.0.1,0
https://flamingo.ics.uci.edu/1.0,0
https://flamingo.ics.uci.edu/releases?C=D;O=A,72
https://flamingo.ics.uci.edu/releases?C=S;O=A,72
https://flamingo.ics.uci.edu/releases?C=S;O=D,72
https://flamingo.ics.uci.edu/releases?C=N;O=A,72
https://flamingo.ics.uci.edu/releases?C=M;O=A,72
https://flamingo.ics.uci.edu/releases?C=M;O=D,72
https://flamingo.ics.uci.edu/releases?C=N;O=D,72
https://flamingo.ics.uci.edu/releases/src/util,0
https://flamingo.ics.uci.edu/releases/docs/TopkDoc.html,0
https://flamingo.ics.uci.edu/releases/docs/SepiaDoc.html,0
https://flamingo.ics.uci.edu/releases/docs/MatTreeDoc.html,0
https://flamingo.ics.uci.edu/releases/docs/LbakTreeDoc.html,0
https://flamingo.ics.uci.edu/releases/docs/PartEnumDoc.html,0
https://flamingo.ics.uci.edu/releases/docs/StringMapDoc.html,0
https://flamingo.ics.uci.edu/releases/docs/ListMergerDoc.html,0
https://flamingo.ics.uci.edu/releases/docs/FilterTreeDoc.html,0
https://flamingo.ics.uci.edu/releases/docs/CommonDoc.html,0
https://flamingo.ics.uci.edu/releases/docs/GettingStartedDoc.html,0
https://flamingo.ics.uci.edu/index.html,1401
https://www.ics.uci.edu/~rares,0
https://www.ics.uci.edu/~chenli,0
https://www.ics.uci.edu/~shengyuj,0
https://www.ics.uci.edu/~abehm,0
https://www.ics.uci.edu/~salsubai,0
http://www.ics.uci.edu/releases/4.0,0
http://www.ics.uci.edu/releases/latest,0
http://www.ics.uci.edu/releases/1.0,0
http://www.ics.uci.edu/toolkit,0
http://www.ics.uci.edu/releases/2.0,0
http://www.ics.uci.edu/releases/2.0.1,0
http://www.ics.uci.edu/releases/3.0,0
http://www.ics.uci.edu/releases/4.1,0
http://www.ics.uci.edu/spellchecker,0
https://fr.ics.uci.edu/chile,78
https://fr.ics.uci.edu/chilepersonfinder,0
http://www.ics.uci.edu/~flamingo/release/record-linkage1.0/README.txt,811
http://www.ics.uci.edu/~flamingo/release/record-linkage1.1/README.txt,957
http://www.ics.uci.edu/~flamingo/release/stringmap2.0/README.txt,587
http://www.ics.uci.edu/~flamingo/release/sepia1.0/README.txt,733
http://www.ics.uci.edu/~chenli/sigmod07ugrad,761
http://www.ics.uci.edu/~hshirani/webobjects,0
http://flamingo.ics.uci.edu/releases/1.0,555
http://flamingo.ics.uci.edu/releases/download,0
http://www.ics.uci.edu/~rvernica,0
http://www.ics.uci.edu/~cs224,0
http://www.ics.uci.edu/community/news/press/view_press?id=73,0
http://flamingo.ics.uci.edu/releases/2.0.1,878
http://flamingo.ics.uci.edu/releases/2.0,932
http://tastier.ics.uci.edu,372
http://jujube.ics.uci.edu/www/learning.html,0
